Pilot;Term;Vac;Exam,Bremner,4B,4B,W
Pilot;Term;Vac;Exam,Claremont,1,1,W;S;P
Pilot;Term;Vac;Exam,Clarinus,6,6,W
Pilot;Term;Vac;Exam,Clarinus via Rochester,6,7A,W;S
Pilot;Term;Vac;Exam,Forest Hill,5,5,W
Pilot;Term;Vac;Exam,Forest Hill (0700 - 0900),5,5m,W
Pilot;Term;Vac;Exam,Forest Hill via Liesbeek Gardens,5,5A,W;S
Pilot;Term;Vac;Exam,Hiddingh Hall (via Tugwell),10,10,W
Pilot;Term;Vac;Exam,Hiddingh Hall (before 1800),10,10m,W;S;U;P
Pilot;Term;Vac;Exam,Liesbeek,9,9,W
Pilot;Term;Vac;Exam,Liesbeek (0700 - 0900),9,9m,W
Pilot;Term;Vac;Exam,Med School,9C,9Ca,W
Pilot;Term;Vac;Exam,Mowbray,8,8,W
Pilot;Term;Vac;Exam,Obz Square,9C,9C,W
Pilot;Term;Vac;Exam,Obz Square via Clarinus,9C,9Cb,W
Pilot;Term;Vac;Exam,Residence Loop (Clockwise),9B,9Bc,W;S;U;P
Pilot;Term;Vac;Exam,Residence Loop (Anti-clockwise),9B,9Ba,W;S;U;P
Pilot;Term;Vac;Exam,Rochester,7,7,W
Pilot;Term;Vac;Exam,Clarinus via Rochester,7,7A,W;S
Pilot;Term;Vac;Exam,Sandown,3,3,W
Pilot;Term;Vac;Exam,Tugwell,4,4,W;S;U;P
Pilot;Term;Vac;Exam,Tugwell (0700 - 0900),4,4m,W
